Physician_ID,Physician_Name,Specialization,Location
1,Karim Sheikh,Pediatrician,Rangpur
2,Hossain Khan,Neurologist,Rangpur
3,Hossain Khan,Dermatologist,Chattogram
4,Hossain Khan,Pediatrician,Sylhet
5,Rahman Miah,Dermatologist,Rangpur
6,Karim Ali,Neurologist,Rajshahi
7,Rahman Ali,Oncologist,Mymensingh
8,Rahman Miah,Oncologist,Khulna
9,Rahman Ali,Neurologist,Dhaka
10,Chowdhury Ali,Neurologist,Chattogram
11,Rahman Islam,Neurologist,Mymensingh
12,Ahmed Khan,Cardiologist,Rajshahi
13,Ahmed Sheikh,Neurologist,Barisal
14,Hossain Islam,Oncologist,Barisal
15,Hossain Ali,Dermatologist,Chattogram
16,Karim Ali,Dermatologist,Rangpur
17,Ahmed Miah,Oncologist,Rajshahi
18,Karim Islam,Oncologist,Dhaka
19,Ahmed Khan,Oncologist,Mymensingh
20,Karim Ali,Neurologist,Mymensingh
21,Ahmed Miah,Neurologist,Mymensingh
22,Hossain Islam,Dermatologist,Rajshahi
23,Ahmed Miah,Pediatrician,Chattogram
24,Rahman Sheikh,Dermatologist,Khulna
25,Rahman Ali,Neurologist,Chattogram
26,Karim Sheikh,Dermatologist,Dhaka
27,Karim Islam,Pediatrician,Chattogram
28,Hossain Khan,Cardiologist,Dhaka
29,Chowdhury Sheikh,Pediatrician,Rajshahi
30,Rahman Ali,Neurologist,Rajshahi
31,Hossain Ali,Pediatrician,Barisal
32,Ahmed Ali,Dermatologist,Rajshahi
33,Chowdhury Ali,Neurologist,Mymensingh
34,Karim Islam,Pediatrician,Barisal
35,Hossain Khan,Cardiologist,Rangpur
36,Rahman Khan,Dermatologist,Dhaka
37,Hossain Sheikh,Pediatrician,Sylhet
38,Chowdhury Sheikh,Neurologist,Rajshahi
39,Chowdhury Islam,Dermatologist,Mymensingh
40,Rahman Miah,Pediatrician,Rajshahi
41,Ahmed Miah,Neurologist,Mymensingh
42,Rahman Islam,Pediatrician,Barisal
43,Hossain Ali,Pediatrician,Rangpur
44,Karim Ali,Pediatrician,Barisal
45,Chowdhury Khan,Dermatologist,Chattogram
46,Chowdhury Sheikh,Neurologist,Mymensingh
47,Chowdhury Khan,Pediatrician,Sylhet
48,Rahman Sheikh,Dermatologist,Chattogram
49,Ahmed Miah,Cardiologist,Dhaka
50,Karim Khan,Cardiologist,Khulna
51,Ahmed Sheikh,Neurologist,Chattogram
52,Ahmed Miah,Oncologist,Mymensingh
53,Chowdhury Miah,Pediatrician,Sylhet
54,Ahmed Islam,Neurologist,Chattogram
55,Ahmed Khan,Oncologist,Chattogram
56,Hossain Ali,Dermatologist,Rangpur
57,Rahman Ali,Pediatrician,Sylhet
58,Chowdhury Ali,Cardiologist,Sylhet
59,Ahmed Khan,Pediatrician,Chattogram
60,Ahmed Khan,Pediatrician,Rangpur
61,Karim Khan,Pediatrician,Khulna
62,Chowdhury Khan,Pediatrician,Rangpur
63,Ahmed Miah,Dermatologist,Mymensingh
64,Hossain Ali,Neurologist,Rajshahi
65,Chowdhury Sheikh,Pediatrician,Barisal
66,Karim Miah,Pediatrician,Mymensingh
67,Rahman Islam,Pediatrician,Barisal
68,Rahman Sheikh,Oncologist,Barisal
69,Chowdhury Khan,Pediatrician,Khulna
70,Hossain Miah,Dermatologist,Barisal
71,Hossain Sheikh,Oncologist,Dhaka
72,Ahmed Islam,Pediatrician,Dhaka
73,Chowdhury Khan,Dermatologist,Dhaka
74,Rahman Khan,Neurologist,Barisal
75,Ahmed Islam,Pediatrician,Rajshahi
76,Ahmed Ali,Oncologist,Barisal
77,Karim Khan,Dermatologist,Barisal
78,Chowdhury Khan,Neurologist,Sylhet
79,Rahman Ali,Pediatrician,Rangpur
80,Chowdhury Khan,Cardiologist,Barisal
81,Hossain Khan,Oncologist,Chattogram
82,Chowdhury Islam,Cardiologist,Rangpur
83,Ahmed Ali,Dermatologist,Barisal
84,Hossain Sheikh,Cardiologist,Khulna
85,Chowdhury Ali,Oncologist,Dhaka
86,Rahman Miah,Cardiologist,Barisal
87,Chowdhury Miah,Neurologist,Barisal
88,Chowdhury Khan,Neurologist,Dhaka
89,Hossain Sheikh,Pediatrician,Chattogram
90,Karim Sheikh,Dermatologist,Rangpur
91,Karim Khan,Dermatologist,Chattogram
92,Hossain Miah,Cardiologist,Rangpur
93,Rahman Ali,Oncologist,Rangpur
94,Karim Khan,Oncologist,Khulna
95,Hossain Sheikh,Pediatrician,Khulna
96,Chowdhury Miah,Pediatrician,Khulna
97,Karim Ali,Dermatologist,Rangpur
98,Rahman Miah,Cardiologist,Chattogram
99,Hossain Sheikh,Dermatologist,Barisal
100,Karim Islam,Dermatologist,Dhaka
